 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  H   
  2.4822  2.6305  2.8075  2.8381  2.7313  2.6403  2.6345  2.6607  2.6617  2.6324
  2.5870  2.5345  2.4798  2.4233  2.3640  2.2099  2.0532  1.8971  1.7450
  2.4383  2.4788  2.5462  2.5911  2.6197  2.6385  2.6464  2.6421  2.6253  2.5971
  2.5589  2.5122  2.4593  2.4024  2.3433  2.1922  2.0401  1.8880  1.7377  1.5897
  2.4129  2.3965  2.3987  2.4308  2.4980  2.5565  2.5828  2.5863  2.5761  2.5554
  2.5243  2.4837  2.4349  2.3798  2.3217  2.1732  2.0251  1.8775  1.7302  1.5851
  1.4430
  2.4060  2.3836  2.3650  2.3572  2.3662  2.3943  2.4437  2.4933  2.5141  2.5073
  2.4832  2.4490  2.4066  2.3555  2.2992  2.1529  2.0082  1.8656  1.7225  1.5802
  1.4407  1.3042
  2.3856  2.3691  2.3507  2.3340  2.3239  2.3236  2.3345  2.3550  2.3853  2.4123
  2.4173  2.4000  2.3687  2.3264  2.2746  2.1319  1.9894  1.8512  1.7136  1.5750
  1.4378  1.3034  1.1723  1.0442
  2.3410  2.3359  2.3257  2.3127  2.2995  2.2893  2.2850  2.2870  2.2926  2.3013
  2.3121  2.3156  2.3034  2.2776  2.2397  2.1096  1.9696  1.8344  1.7023  1.5688
  1.4346  1.3021  1.1727  1.0463  0.9231  0.8027  0.6850  0.5697  0.4570  0.3494
  2.2675  2.2770  2.2792  2.2759  2.2687  2.2594  2.2504  2.2442  2.2406  2.2377
  2.2339  2.2294  2.2219  2.2073  2.1829  2.0806  1.9488  1.8162  1.6882  1.5605
  1.4305  1.3006  1.1728  1.0480  0.9262  0.8074  0.6913  0.5779  0.4668  0.3580
  0.2537
  2.1660  2.1908  2.2074  2.2168  2.2199  2.2179  2.2124  2.2056  2.1987  2.1919
  2.1838  2.1729  2.1586  2.1414  2.1207  2.0394  1.9243  1.7971  1.6722  1.5495
  1.4249  1.2984  1.1727  1.0493  0.9290  0.8115  0.6968  0.5848  0.4753  0.3680
  0.2627
  2.0436  2.0810  2.1114  2.1342  2.1497  2.1583  2.1609  2.1590  2.1540  2.1474
  2.1391  2.1279  2.1127  2.0930  2.0699  1.9949  1.8932  1.7751  1.6536  1.5343
  1.4148  1.2929  1.1698  1.0479  0.9286  0.8122  0.6987  0.5878  0.4796  0.3736
  0.2697
  1.9096  1.9527  1.9945  2.0297  2.0579  2.0784  2.0914  2.0980  2.0991  2.0963
  2.0906  2.0820  2.0697  2.0525  2.0304  1.9565  1.8631  1.7538  1.6370  1.5202
  1.4043  1.2875  1.1688  1.0496  0.9317  0.8164  0.7039  0.5944  0.4874  0.3828
  0.2784
  1.7660  1.8151  1.8630  1.9073  1.9463  1.9783  2.0025  2.0194  2.0294  2.0335
  2.0329  2.0286  2.0208  2.0086  1.9912  1.9244  1.8343  1.7326  1.6212  1.5069
  1.3929  1.2793  1.1650  1.0496  0.9344  0.8207  0.7092  0.6006  0.4947  0.3913
  0.2902
  1.6128  1.6682  1.7248  1.7728  1.8190  1.8600  1.8944  1.9219  1.9422  1.9555
  1.9627  1.9646  1.9624  1.9560  1.9523  1.8986  1.8068  1.7115  1.6062
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =  H   
  2.6161  2.6571  2.6926  2.7190  2.7339  2.7368  2.7278  2.7074  2.6771  2.6383
  2.5923  2.5408  2.4856  2.4276  2.3672  2.2128  2.0560  1.8996  1.7458
  2.5395  2.5777  2.6151  2.6467  2.6689  2.6797  2.6788  2.6667  2.6440  2.6118
  2.5709  2.5227  2.4689  2.4116  2.3520  2.1987  2.0441  1.8906  1.7395  1.5912
  2.4642  2.4648  2.4936  2.5690  2.5991  2.6168  2.6231  2.6184  2.6035  2.5788
  2.5448  2.5020  2.4517  2.3957  2.3368  2.1848  2.0322  1.8814  1.7330  1.5876
  1.4453
  2.4217  2.3910  2.3969  2.4329  2.4823  2.5293  2.5605  2.5686  2.5599  2.5406
  2.5127  2.4765  2.4319  2.3793  2.3216  2.1711  2.0203  1.8720  1.7263  1.5833
  1.4434  1.3068
  2.4279  2.4007  2.3768  2.3742  2.3896  2.4149  2.4434  2.4696  2.4888  2.4945
  2.4767  2.4459  2.4070  2.3603  2.3057  2.1575  2.0081  1.8621  1.7193  1.5789
  1.4411  1.3063  1.1749  1.0466
  2.4271  2.4027  2.3771  2.3529  2.3339  2.3239  2.3232  2.3310  2.3483  2.3770
  2.3984  2.3952  2.3718  2.3346  2.2868  2.1435  1.9955  1.8513  1.7113  1.5740
  1.4385  1.3056  1.1758  1.0491  0.9256  0.8050  0.6871  0.5716  0.4590  0.3516
  2.4063  2.3912  2.3711  2.3488  2.3264  2.3066  2.2917  2.2830  2.2789  2.2784
  2.2840  2.2948  2.2966  2.2817  2.2519  2.1279  1.9825  1.8396  1.7019  1.5679
  1.4355  1.3045  1.1763  1.0512  0.9291  0.8099  0.6936  0.5801  0.4688  0.3600
  0.2559
  2.3585  2.3554  2.3458  2.3315  2.3140  2.2949  2.2760  2.2590  2.2449  2.2330
  2.2223  2.2133  2.2076  2.2012  2.1871  2.1010  1.9680  1.8273  1.6912  1.5601
  1.4313  1.3031  1.1766  1.0529  0.9322  0.8144  0.6993  0.5871  0.4774  0.3700
  0.2648
  2.2776  2.2919  2.2952  2.2921  2.2839  2.2718  2.2565  2.2395  2.2219  2.2045
  2.1874  2.1699  2.1521  2.1349  2.1183  2.0541  1.9444  1.8117  1.6777  1.5487
  1.4233  1.2986  1.1743  1.0518  0.9321  0.8154  0.7015  0.5904  0.4818  0.3757
  0.2717
  2.1718  2.1992  2.2173  2.2273  2.2308  2.2289  2.2220  2.2107  2.1960  2.1789
  2.1602  2.1400  2.1183  2.0952  2.0712  2.0056  1.9126  1.7939  1.6653  1.5383
  1.4154  1.2946  1.1741  1.0539  0.9356  0.8199  0.7070  0.5971  0.4899  0.3850
  0.2804
  2.0512  2.0847  2.1151  2.1382  2.1542  2.1638  2.1672  2.1651  2.1574  2.1452
  2.1294  2.1106  2.0892  2.0654  2.0392  1.9663  1.8789  1.7719  1.6514  1.5276
  1.4065  1.2883  1.1714  1.0547  0.9387  0.8244  0.7126  0.6036  0.4973  0.3937
  0.2923
  1.9177  1.9588  1.9957  2.0284  2.0559  2.0771  2.0915  2.0996  2.1013  2.0970
  2.0875  2.0734  2.0556  2.0344  2.0223  1.9362  1.8433  1.7457  1.6360
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =  H   
  2.7101  2.7441  2.7701  2.7860  2.7896  2.7809  2.7600  2.7279  2.6871  2.6401
  2.5886  2.5342  2.4781  2.4208  2.3621  2.2110  2.0567  1.9014  1.7471
  2.6388  2.6755  2.7068  2.7295  2.7408  2.7396  2.7259  2.7005  2.6658  2.6237
  2.5757  2.5230  2.4672  2.4096  2.3506  2.1992  2.0460  1.8933  1.7422  1.5939
  2.5651  2.6022  2.6371  2.6650  2.6829  2.6891  2.6832  2.6657  2.6383  2.6025
  2.5597  2.5108  2.4569  2.3998  2.3408  2.1891  2.0364  1.8854  1.7366  1.5910
  1.4485
  2.4886  2.5002  2.5432  2.5896  2.6185  2.6326  2.6337  2.6238  2.6037  2.5749
  2.5385  2.4951  2.4454  2.3904  2.3320  2.1806  2.0283  1.8783  1.7313  1.5876
  1.4474  1.3104
  2.4439  2.4256  2.4332  2.4587  2.4946  2.5346  2.5683  2.5754  2.5646  2.5423
  2.5117  2.4741  2.4300  2.3793  2.3231  2.1730  2.0212  1.8721  1.7265  1.5844
  1.4458  1.3107  1.1789  1.0502
  2.4524  2.4244  2.4009  2.3866  2.3847  2.3927  2.4131  2.4456  2.4760  2.4893
  2.4772  2.4481  2.4094  2.3643  2.3124  2.1656  2.0144  1.8661  1.7218  1.5813
  1.4443  1.3106  1.1804  1.0533  0.9294  0.8084  0.6902  0.5746  0.4621  0.3550
  2.4624  2.4338  2.4052  2.3789  2.3577  2.3441  2.3379  2.3372  2.3414  2.3552
  2.3762  2.3851  2.3720  2.3405  2.2967  2.1575  2.0077  1.8601  1.7168  1.5779
  1.4427  1.3106  1.1817  1.0559  0.9334  0.8139  0.6971  0.5832  0.4720  0.3634
  0.2597
  2.4625  2.4386  2.4118  2.3837  2.3561  2.3311  2.3105  2.2949  2.2831  2.2737
  2.2683  2.2708  2.2780  2.2755  2.2563  2.1467  2.0005  1.8537  1.7114  1.5740
  1.4413  1.3102  1.1828  1.0584  0.9371  0.8188  0.7033  0.5906  0.4807  0.3733
  0.2683
  2.4377  2.4264  2.4071  2.3830  2.3567  2.3296  2.3033  2.2789  2.2571  2.2376
  2.2197  2.2034  2.1908  2.1838  2.1774  2.1154  1.9893  1.8449  1.7035  1.5671
  1.4356  1.3072  1.1813  1.0579  0.9376  0.8204  0.7060  0.5944  0.4855  0.3791
  0.2751
  2.3845  2.3866  2.3806  2.3652  2.3454  2.3224  2.2975  2.2717  2.2457  2.2203
  2.1957  2.1717  2.1483  2.1264  2.1078  2.0609  1.9671  1.8361  1.6969  1.5618
  1.4317  1.3057  1.1823  1.0608  0.9416  0.8254  0.7120  0.6016  0.4939  0.3887
  0.2839
  2.3041  2.3187  2.3246  2.3225  2.3131  2.2986  2.2800  2.2584  2.2344  2.2085
  2.1814  2.1535  2.1253  2.0969  2.0691  2.0061  1.9295  1.8191  1.6886  1.5557
  1.4268  1.3025  1.1816  1.0626  0.9455  0.8305  0.7181  0.6085  0.5018  0.3977
  0.2960
  2.1973  2.2244  2.2429  2.2535  2.2563  2.2527  2.2436  2.2299  2.2120  2.1904
  2.1657  2.1384  2.1090  2.0782  2.0613  1.9510  1.8765  1.7939  1.6786
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value =  H   
  2.8180  2.8408  2.8536  2.8556  2.8459  2.8241  2.7904  2.7454  2.6924  2.6352
  2.5765  2.5179  2.4599  2.4024  2.3450  2.1991  2.0513  1.9006  1.7486
  2.7536  2.7835  2.8045  2.8150  2.8135  2.7995  2.7727  2.7335  2.6851  2.6308
  2.5734  2.5147  2.4560  2.3975  2.3390  2.1910  2.0421  1.8931  1.7441  1.5966
  2.6839  2.7174  2.7448  2.7632  2.7706  2.7655  2.7471  2.7155  2.6732  2.6236
  2.5691  2.5117  2.4530  2.3940  2.3348  2.1851  2.0351  1.8866  1.7395  1.5946
  1.4524
  2.6086  2.6446  2.6771  2.7023  2.7175  2.7211  2.7119  2.6891  2.6545  2.6110
  2.5612  2.5068  2.4497  2.3911  2.3317  2.1810  2.0300  1.8815  1.7355  1.5923
  1.4522  1.3151
  2.5013  2.5359  2.5850  2.6266  2.6540  2.6673  2.6669  2.6535  2.6274  2.5912
  2.5475  2.4980  2.4442  2.3874  2.3287  2.1782  2.0266  1.8778  1.7324  1.5903
  1.4517  1.3163  1.1842  1.0552
  2.4692  2.4552  2.4606  2.4861  2.5265  2.5702  2.5984  2.6037  2.5905  2.5636
  2.5270  2.4834  2.4345  2.3813  2.3246  2.1757  2.0241  1.8751  1.7301  1.5889
  1.4514  1.3173  1.1866  1.0591  0.9348  0.8134  0.6948  0.5791  0.4667  0.3602
  2.4742  2.4473  2.4267  2.4173  2.4210  2.4339  2.4518  2.4729  2.4927  2.5006
  2.4892  2.4598  2.4187  2.3708  2.3180  2.1728  2.0220  1.8730  1.7282  1.5878
  1.4513  1.3184  1.1890  1.0627  0.9396  0.8195  0.7024  0.5882  0.4767  0.3684
  0.2653
  2.4872  2.4571  2.4287  2.4041  2.3860  2.3756  2.3713  2.3689  2.3662  2.3661
  2.3720  2.3778  2.3706  2.3450  2.3041  2.1689  2.0198  1.8712  1.7266  1.5868
  1.4513  1.3195  1.1912  1.0661  0.9442  0.8253  0.7092  0.5961  0.4859  0.3783
  0.2719
  2.4992  2.4706  2.4407  2.4111  2.3832  2.3587  2.3383  2.3217  2.3065  2.2909
  2.2760  2.2650  2.2615  2.2603  2.2495  2.1584  2.0151  1.8673  1.7231  1.5837
  1.4490  1.3182  1.1908  1.0666  0.9456  0.8278  0.7127  0.6005  0.4911  0.3844
  0.2803
  2.4990  2.4762  2.4502  2.4212  2.3909  2.3605  2.3314  2.3044  2.2795  2.2557
  2.2324  2.2092  2.1879  2.1713  2.1606  2.1182  2.0089  1.8650  1.7215  1.5827
  1.4489  1.3194  1.1935  1.0705  0.9505  0.8336  0.7196  0.6085  0.5002  0.3945
  0.2912
  2.4756  2.4630  2.4448  2.4217  2.3946  2.3646  2.3333  2.3019  2.2709  2.2408
  2.2114  2.1823  2.1535  2.1258  2.1006  2.0528  1.9800  1.8596  1.7192  1.5812
  1.4480  1.3195  1.1951  1.0739  0.9553  0.8395  0.7263  0.6161  0.5088  0.4040
  0.3018
  2.4225  2.4228  2.4159  2.4024  2.3832  2.3589  2.3307  2.3001  2.2682  2.2356
  2.2027  2.1697  2.1366  2.1037  2.0695  1.9622  1.9284  1.8511  1.7162
 [Fe/H] = -0.75 [alpha/Fe] = 0.40 BC value =  H   
  2.8690  2.8855  2.8915  2.8865  2.8692  2.8400  2.7999  2.7496  2.6910  2.6295
  2.5677  2.5069  2.4476  2.3895  2.3321  2.1886  2.0439  1.8971  1.7477
  2.8104  2.8354  2.8502  2.8538  2.8453  2.8244  2.7909  2.7450  2.6903  2.6307
  2.5693  2.5079  2.4475  2.3882  2.3296  2.1833  2.0369  1.8908  1.7439  1.5974
  2.7426  2.7736  2.7965  2.8092  2.8101  2.7984  2.7736  2.7352  2.6861  2.6302
  2.5705  2.5094  2.4485  2.3882  2.3286  2.1799  2.0317  1.8853  1.7399  1.5959
  1.4542
  2.6700  2.7041  2.7329  2.7534  2.7635  2.7616  2.7465  2.7173  2.6757  2.6252
  2.5690  2.5097  2.4492  2.3886  2.3284  2.1781  2.0283  1.8811  1.7365  1.5941
  1.4544  1.3176
  2.5811  2.6214  2.6582  2.6875  2.7064  2.7137  2.7083  2.6894  2.6567  2.6134
  2.5626  2.5068  2.4483  2.3884  2.3282  2.1774  2.0265  1.8785  1.7341  1.5927
  1.4545  1.3193  1.1872  1.0581
  2.4897  2.4992  2.5339  2.5820  2.6243  2.6500  2.6577  2.6501  2.6279  2.5932
  2.5494  2.4989  2.4440  2.3864  2.3272  2.1768  2.0257  1.8772  1.7326  1.5919
  1.4548  1.3209  1.1902  1.0626  0.9381  0.8165  0.6978  0.5820  0.4700  0.3638
  2.4799  2.4587  2.4502  2.4593  2.4826  2.5137  2.5465  2.5687  2.5731  2.5577
  2.5262  2.4838  2.4346  2.3809  2.3242  2.1760  2.0252  1.8764  1.7319  1.5916
  1.4554  1.3226  1.1931  1.0667  0.9434  0.8231  0.7058  0.5914  0.4798  0.3719
  0.2693
  2.4889  2.4602  2.4356  2.4188  2.4126  2.4164  2.4247  2.4330  2.4400  2.4464
  2.4486  2.4376  2.4098  2.3677  2.3171  2.1744  2.0247  1.8761  1.7315  1.5916
  1.4561  1.3243  1.1959  1.0707  0.9486  0.8294  0.7131  0.5997  0.4892  0.3817
  0.2775
  2.5039  2.4733  2.4437  2.4165  2.3939  2.3774  2.3669  2.3592  2.3501  2.3385
  2.3274  2.3203  2.3167  2.3073  2.2842  2.1688  2.0222  1.8740  1.7294  1.5897
  1.4546  1.3235  1.1961  1.0718  0.9506  0.8324  0.7170  0.6045  0.4949  0.3880
  0.2840
  2.5162  2.4878  2.4582  2.4278  2.3983  2.3707  2.3464  2.3252  2.3056  2.2855
  2.2638  2.2415  2.2219  2.2080  2.1984  2.1436  2.0200  1.8738  1.7297  1.5903
  1.4559  1.3258  1.1994  1.0761  0.9559  0.8388  0.7244  0.6130  0.5044  0.3984
  0.2949
