 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  H   
  2.3664  2.3884  2.4146  2.4347  2.4492  2.4570  2.4561  2.4341  2.4015  2.3601
  2.3111  2.2977  2.2356  2.1696  2.1024  1.9370  1.7725  1.6226  1.4717
  2.2558  2.2355  2.2567  2.3151  2.3822  2.4134  2.4135  2.3964  2.3686  2.3325
  2.2884  2.2377  2.1825  2.1246  2.0656  1.9172  1.7674  1.6160  1.4653  1.3171
  2.1950  2.1827  2.1759  2.1810  2.2025  2.2471  2.3010  2.3267  2.3206  2.2927
  2.2538  2.2077  2.1552  2.0987  2.0405  1.8949  1.7510  1.6051  1.4581  1.3130
  1.1709
  2.1476  2.1395  2.1303  2.1236  2.1232  2.1316  2.1496  2.1805  2.2117  2.2198
  2.2027  2.1684  2.1231  2.0703  2.0139  1.8707  1.7313  1.5923  1.4502  1.3081
  1.1685  1.0320
  2.0852  2.0861  2.0827  2.0771  2.0719  2.0696  2.0719  2.0780  2.0882  2.1023
  2.1095  2.0987  2.0720  2.0326  1.9836  1.8453  1.7088  1.5763  1.4408  1.3027
  1.1655  1.0311  0.9000  0.7719
  2.0045  2.0172  2.0232  2.0241  2.0219  2.0182  2.0156  2.0147  2.0143  2.0135
  2.0122  2.0081  1.9955  1.9716  1.9367  1.8177  1.6849  1.5567  1.4285  1.2961
  1.1622  1.0298  0.9003  0.7740  0.6501  0.5289  0.4106  0.2958  0.1845  0.0769
  1.9052  1.9307  1.9482  1.9586  1.9632  1.9636  1.9617  1.9593  1.9568  1.9528
  1.9459  1.9354  1.9212  1.9025  1.8769  1.7815  1.6598  1.5352  1.4128  1.2872
  1.1579  1.0281  0.9004  0.7755  0.6538  0.5352  0.4192  0.3057  0.1943  0.0854
 -0.0188
  1.7875  1.8263  1.8563  1.8779  1.8917  1.8990  1.9020  1.9019  1.9000  1.8970
  1.8912  1.8809  1.8653  1.8451  1.8208  1.7393  1.6318  1.5131  1.3947  1.2753
  1.1519  1.0258  0.9001  0.7768  0.6564  0.5390  0.4244  0.3125  0.2029  0.0955
 -0.0099
