 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  H   
  2.4152  2.5635  2.7405  2.7711  2.6637  2.5726  2.5669  2.5934  2.5941  2.5647
  2.5193  2.4668  2.4120  2.3556  2.2962  2.1424  1.9850  1.8294  1.6775
  2.3710  2.4115  2.4789  2.5238  2.5523  2.5710  2.5789  2.5746  2.5577  2.5294
  2.4912  2.4445  2.3916  2.3346  2.2755  2.1244  1.9721  1.8201  1.6699  1.5218
  2.3454  2.3290  2.3312  2.3633  2.4306  2.4890  2.5153  2.5187  2.5085  2.4877
  2.4566  2.4160  2.3672  2.3120  2.2539  2.1053  1.9572  1.8095  1.6622  1.5171
  1.3750
  2.3384  2.3160  2.2974  2.2896  2.2986  2.3266  2.3761  2.4257  2.4465  2.4396
  2.4155  2.3813  2.3388  2.2878  2.2314  2.0851  1.9403  1.7976  1.6545  1.5122
  1.3727  1.2362
  2.3179  2.3014  2.2830  2.2663  2.2562  2.2559  2.2668  2.2873  2.3176  2.3446
  2.3496  2.3322  2.3010  2.2586  2.2068  2.0640  1.9215  1.7833  1.6456  1.5070
  1.3697  1.2354  1.1042  0.9761
  2.2731  2.2681  2.2579  2.2449  2.2317  2.2215  2.2172  2.2192  2.2248  2.2335
  2.2443  2.2478  2.2356  2.2099  2.1719  2.0417  1.9017  1.7665  1.6343  1.5008
  1.3665  1.2341  1.1046  0.9783  0.8550  0.7346  0.6169  0.5016  0.3889  0.2813
  2.1995  2.2090  2.2113  2.2080  2.2008  2.1915  2.1826  2.1764  2.1728  2.1699
  2.1661  2.1616  2.1541  2.1395  2.1151  2.0127  1.8809  1.7482  1.6202  1.4925
  1.3625  1.2325  1.1048  0.9799  0.8581  0.7393  0.6232  0.5098  0.3987  0.2899
  0.1857
  2.0978  2.1227  2.1393  2.1487  2.1519  2.1499  2.1445  2.1376  2.1308  2.1240
  2.1159  2.1050  2.0908  2.0736  2.0529  1.9715  1.8563  1.7291  1.6042  1.4815
  1.3569  1.2303  1.1046  0.9812  0.8609  0.7434  0.6287  0.5167  0.4072  0.2999
  0.1946
  1.9753  2.0127  2.0432  2.0660  2.0816  2.0902  2.0929  2.0910  2.0861  2.0794
  2.0712  2.0600  2.0448  2.0251  2.0020  1.9270  1.8253  1.7071  1.5857  1.4663
  1.3468  1.2249  1.1018  0.9798  0.8605  0.7441  0.6305  0.5197  0.4114  0.3055
  0.2016
  1.8411  1.8843  1.9261  1.9614  1.9897  2.0102  2.0233  2.0299  2.0311  2.0283
  2.0226  2.0141  2.0018  1.9846  1.9625  1.8886  1.7952  1.6858  1.5690  1.4521
  1.3363  1.2194  1.1007  0.9815  0.8636  0.7483  0.6358  0.5262  0.4193  0.3147
  0.2103
  1.6973  1.7465  1.7945  1.8389  1.8780  1.9100  1.9343  1.9513  1.9613  1.9654
  1.9649  1.9606  1.9528  1.9406  1.9232  1.8565  1.7664  1.6647  1.5532  1.4388
  1.3249  1.2113  1.0969  0.9815  0.8663  0.7525  0.6411  0.5324  0.4265  0.3231
  0.2220
  1.5438  1.5993  1.6562  1.7043  1.7506  1.7916  1.8261  1.8537  1.8740  1.8873
  1.8945  1.8966  1.8943  1.8880  1.8841  1.8307  1.7389  1.6438  1.5383
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =  H   
  2.5490  2.5900  2.6254  2.6518  2.6666  2.6693  2.6603  2.6399  2.6095  2.5707
  2.5247  2.4731  2.4179  2.3599  2.2995  2.1452  1.9881  1.8320  1.6778
  2.4724  2.5106  2.5479  2.5795  2.6015  2.6123  2.6114  2.5992  2.5765  2.5442
  2.5033  2.4550  2.4012  2.3438  2.2842  2.1309  1.9762  1.8227  1.6715  1.5232
  2.3969  2.3975  2.4263  2.5017  2.5317  2.5494  2.5556  2.5508  2.5359  2.5112
  2.4772  2.4343  2.3840  2.3280  2.2690  2.1169  1.9643  1.8134  1.6650  1.5196
  1.3773
  2.3542  2.3235  2.3294  2.3653  2.4148  2.4618  2.4930  2.5011  2.4923  2.4730
  2.4451  2.4088  2.3642  2.3116  2.2539  2.1032  1.9524  1.8041  1.6583  1.5153
  1.3754  1.2387
  2.3604  2.3331  2.3092  2.3066  2.3220  2.3473  2.3758  2.4020  2.4212  2.4269
  2.4090  2.3782  2.3393  2.2926  2.2379  2.0896  1.9402  1.7942  1.6514  1.5109
  1.3730  1.2383  1.1069  0.9785
  2.3595  2.3351  2.3094  2.2853  2.2662  2.2562  2.2555  2.2633  2.2806  2.3093
  2.3307  2.3275  2.3040  2.2668  2.2190  2.0757  1.9276  1.7833  1.6433  1.5060
  1.3705  1.2375  1.1077  0.9811  0.8575  0.7369  0.6190  0.5035  0.3909  0.2835
  2.3386  2.3235  2.3034  2.2811  2.2587  2.2389  2.2240  2.2152  2.2112  2.2107
  2.2163  2.2270  2.2288  2.2139  2.1842  2.0600  1.9146  1.7717  1.6339  1.4999
  1.3674  1.2365  1.1083  0.9831  0.8610  0.7419  0.6255  0.5119  0.4007  0.2919
  0.1879
  2.2906  2.2875  2.2780  2.2637  2.2462  2.2271  2.2082  2.1912  2.1771  2.1652
  2.1545  2.1455  2.1398  2.1334  2.1193  2.0331  1.9001  1.7593  1.6232  1.4921
  1.3632  1.2350  1.1086  0.9848  0.8641  0.7463  0.6312  0.5190  0.4093  0.3019
  0.1966
  2.2095  2.2239  2.2272  2.2241  2.2160  2.2039  2.1887  2.1716  2.1540  2.1366
  2.1196  2.1020  2.0842  2.0671  2.0505  1.9862  1.8765  1.7438  1.6098  1.4807
  1.3552  1.2305  1.1062  0.9837  0.8640  0.7473  0.6334  0.5222  0.4137  0.3076
  0.2036
  2.1035  2.1310  2.1492  2.1592  2.1628  2.1609  2.1540  2.1428  2.1281  2.1110
  2.0923  2.0721  2.0505  2.0273  2.0033  1.9377  1.8446  1.7260  1.5973  1.4703
  1.3474  1.2266  1.1060  0.9858  0.8674  0.7517  0.6389  0.5290  0.4217  0.3169
  0.2124
  1.9827  2.0164  2.0468  2.0700  2.0861  2.0957  2.0992  2.0970  2.0894  2.0773
  2.0614  2.0427  2.0213  1.9975  1.9713  1.8984  1.8110  1.7040  1.5834  1.4596
  1.3385  1.2202  1.1033  0.9866  0.8706  0.7563  0.6444  0.5354  0.4292  0.3255
  0.2242
  1.8492  1.8904  1.9273  1.9600  1.9876  2.0089  2.0234  2.0314  2.0332  2.0290
  2.0195  2.0055  1.9877  1.9664  1.9545  1.8683  1.7757  1.6778  1.5681
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =  H   
  2.6430  2.6770  2.7029  2.7187  2.7222  2.7134  2.6925  2.6604  2.6195  2.5725
  2.5210  2.4665  2.4104  2.3530  2.2944  2.1431  1.9887  1.8335  1.6791
  2.5716  2.6083  2.6396  2.6622  2.6735  2.6722  2.6584  2.6330  2.5983  2.5561
  2.5080  2.4553  2.3995  2.3419  2.2828  2.1313  1.9781  1.8253  1.6742  1.5259
  2.4979  2.5350  2.5699  2.5977  2.6155  2.6217  2.6158  2.5982  2.5707  2.5349
  2.4921  2.4431  2.3893  2.3321  2.2730  2.1213  1.9685  1.8175  1.6687  1.5230
  1.3805
  2.4213  2.4329  2.4759  2.5223  2.5512  2.5652  2.5662  2.5562  2.5361  2.5073
  2.4709  2.4275  2.3777  2.3226  2.2643  2.1128  1.9604  1.8104  1.6633  1.5196
  1.3794  1.2424
  2.3765  2.3582  2.3658  2.3914  2.4273  2.4672  2.5008  2.5079  2.4970  2.4747
  2.4441  2.4064  2.3623  2.3116  2.2553  2.1052  1.9533  1.8041  1.6585  1.5164
  1.3778  1.2426  1.1108  0.9821
  2.3849  2.3569  2.3334  2.3190  2.3171  2.3251  2.3455  2.3779  2.4083  2.4216
  2.4096  2.3805  2.3417  2.2965  2.2447  2.0978  1.9465  1.7982  1.6538  1.5133
  1.3763  1.2426  1.1123  0.9852  0.8613  0.7403  0.6222  0.5066  0.3940  0.2870
  2.3948  2.3662  2.3376  2.3113  2.2901  2.2764  2.2703  2.2695  2.2738  2.2875
  2.3085  2.3174  2.3043  2.2727  2.2289  2.0897  1.9398  1.7921  1.6488  1.5099
  1.3747  1.2425  1.1136  0.9879  0.8653  0.7458  0.6290  0.5151  0.4039  0.2953
  0.1916
  2.3949  2.3710  2.3441  2.3160  2.2885  2.2634  2.2428  2.2272  2.2153  2.2060
  2.2006  2.2031  2.2103  2.2077  2.1885  2.0789  1.9326  1.7858  1.6435  1.5060
  1.3733  1.2422  1.1147  0.9903  0.8690  0.7507  0.6352  0.5225  0.4126  0.3052
  0.2002
  2.3700  2.3587  2.3394  2.3153  2.2889  2.2619  2.2355  2.2111  2.1893  2.1698
  2.1519  2.1356  2.1230  2.1160  2.1096  2.0476  1.9214  1.7770  1.6355  1.4991
  1.3676  1.2392  1.1132  0.9898  0.8695  0.7523  0.6378  0.5262  0.4174  0.3110
  0.2070
  2.3166  2.3187  2.3127  2.2974  2.2776  2.2546  2.2297  2.2039  2.1779  2.1525
  2.1279  2.1039  2.0804  2.0586  2.0400  1.9930  1.8992  1.7681  1.6290  1.4938
  1.3637  1.2377  1.1143  0.9927  0.8735  0.7572  0.6439  0.5335  0.4258  0.3206
  0.2158
  2.2360  2.2507  2.2566  2.2545  2.2452  2.2307  2.2121  2.1906  2.1665  2.1406
  2.1135  2.0857  2.0574  2.0290  2.0012  1.9382  1.8615  1.7511  1.6206  1.4877
  1.3587  1.2344  1.1135  0.9946  0.8774  0.7624  0.6499  0.5404  0.4336  0.3295
  0.2278
  2.1290  2.1561  2.1747  2.1854  2.1882  2.1846  2.1756  2.1619  2.1440  2.1225
  2.0978  2.0705  2.0411  2.0104  1.9932  1.8832  1.8083  1.7260  1.6103
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value =  H   
  2.7509  2.7736  2.7863  2.7883  2.7786  2.7568  2.7230  2.6779  2.6248  2.5676
  2.5089  2.4502  2.3922  2.3347  2.2772  2.1313  1.9833  1.8327  1.6806
  2.6865  2.7163  2.7373  2.7477  2.7461  2.7321  2.7053  2.6660  2.6175  2.5632
  2.5058  2.4470  2.3883  2.3298  2.2712  2.1232  1.9742  1.8252  1.6761  1.5286
  2.6168  2.6502  2.6775  2.6959  2.7032  2.6981  2.6796  2.6479  2.6057  2.5560
  2.5015  2.4440  2.3853  2.3263  2.2670  2.1173  1.9672  1.8187  1.6716  1.5266
  1.3844
  2.5414  2.5774  2.6099  2.6350  2.6501  2.6537  2.6444  2.6216  2.5869  2.5434
  2.4935  2.4392  2.3820  2.3234  2.2639  2.1132  1.9621  1.8135  1.6675  1.5243
  1.3841  1.2471
  2.4340  2.4686  2.5178  2.5593  2.5867  2.5999  2.5994  2.5859  2.5598  2.5236
  2.4799  2.4304  2.3765  2.3197  2.2609  2.1103  1.9587  1.8098  1.6644  1.5223
  1.3836  1.2483  1.1161  0.9871
  2.4017  2.3878  2.3932  2.4186  2.4590  2.5028  2.5309  2.5361  2.5230  2.4960
  2.4594  2.4158  2.3668  2.3136  2.2569  2.1078  1.9562  1.8072  1.6621  1.5209
  1.3834  1.2493  1.1186  0.9911  0.8667  0.7453  0.6267  0.5110  0.3987  0.2921
  2.4067  2.3797  2.3591  2.3497  2.3534  2.3664  2.3842  2.4053  2.4251  2.4330
  2.4216  2.3921  2.3510  2.3031  2.2502  2.1050  1.9541  1.8051  1.6603  1.5198
  1.3833  1.2504  1.1209  0.9946  0.8715  0.7515  0.6344  0.5201  0.4086  0.3003
  0.1972
  2.4197  2.3896  2.3612  2.3365  2.3184  2.3080  2.3036  2.3012  2.2985  2.2984
  2.3043  2.3101  2.3029  2.2773  2.2364  2.1011  1.9519  1.8032  1.6587  1.5188
  1.3833  1.2514  1.1231  0.9980  0.8761  0.7572  0.6411  0.5280  0.4178  0.3102
  0.2038
  2.4316  2.4031  2.3731  2.3435  2.3156  2.2910  2.2706  2.2540  2.2387  2.2232
  2.2082  2.1973  2.1937  2.1925  2.1817  2.0906  1.9473  1.7994  1.6551  1.5157
  1.3810  1.2501  1.1227  0.9985  0.8775  0.7596  0.6446  0.5324  0.4230  0.3163
  0.2122
  2.4314  2.4086  2.3826  2.3535  2.3232  2.2928  2.2637  2.2367  2.2117  2.1879
  2.1646  2.1414  2.1201  2.1035  2.0928  2.0504  1.9411  1.7970  1.6536  1.5147
  1.3809  1.2513  1.1254  1.0024  0.8824  0.7654  0.6514  0.5404  0.4320  0.3263
  0.2231
  2.4079  2.3952  2.3770  2.3540  2.3269  2.2969  2.2655  2.2341  2.2031  2.1730
  2.1435  2.1145  2.0857  2.0580  2.0328  1.9849  1.9121  1.7917  1.6513  1.5132
  1.3800  1.2515  1.1271  1.0058  0.8872  0.7713  0.6582  0.5480  0.4406  0.3359
  0.2336
  2.3545  2.3550  2.3480  2.3345  2.3154  2.2910  2.2628  2.2323  2.2004  2.1678
  2.1349  2.1019  2.0688  2.0358  2.0017  1.8941  1.8603  1.7835  1.6482
 [Fe/H] = -0.75 [alpha/Fe] = 0.40 BC value =  H   
