 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F475W
 -7.2782 -7.0116 -6.8380 -6.6366 -6.3933 -6.1888 -6.0792 -6.0098 -5.9034 -5.7382
 -5.5453 -5.3335 -5.1200 -4.9184 -4.7251 -4.2865 -3.9111 -3.6123 -3.3722
 -6.9619 -6.6281 -6.3816 -6.1768 -6.0049 -5.8624 -5.7406 -5.6268 -5.5088 -5.3786
 -5.2309 -5.0622 -4.8766 -4.6898 -4.5147 -4.1332 -3.8148 -3.5574 -3.3555 -3.2019
 -6.7472 -6.3828 -6.0963 -5.8786 -5.7229 -5.5967 -5.4711 -5.3459 -5.2251 -5.1072
 -4.9812 -4.8414 -4.6825 -4.5132 -4.3530 -4.0135 -3.7391 -3.5160 -3.3427 -3.2079
 -3.0984
 -6.6341 -6.2757 -5.9821 -5.7420 -5.5473 -5.3917 -5.2707 -5.1671 -5.0523 -4.9240
 -4.7962 -4.6711 -4.5377 -4.3886 -4.2400 -3.9274 -3.6840 -3.4881 -3.3338 -3.2120
 -3.1120 -3.0261
 -6.5469 -6.2072 -5.9225 -5.6821 -5.4774 -5.3029 -5.1541 -5.0265 -4.9158 -4.8090
 -4.6881 -4.5584 -4.4331 -4.3025 -4.1658 -3.8703 -3.6459 -3.4696 -3.3307 -3.2202
 -3.1286 -3.0492 -2.9782 -2.9133
 -6.4506 -6.1401 -5.8741 -5.6438 -5.4417 -5.2626 -5.1031 -4.9608 -4.8326 -4.7150
 -4.6032 -4.4885 -4.3686 -4.2481 -4.1207 -3.8359 -3.6216 -3.4574 -3.3297 -3.2289
 -3.1454 -3.0728 -3.0072 -2.9468 -2.8904 -2.8380 -2.7901 -2.7481 -2.7148 -2.6970
 -6.3328 -6.0576 -5.8175 -5.6047 -5.4128 -5.2380 -5.0774 -4.9292 -4.7927 -4.6663
 -4.5473 -4.4330 -4.3201 -4.2101 -4.0953 -3.8204 -3.6085 -3.4500 -3.3288 -3.2352
 -3.1595 -3.0940 -3.0348 -2.9797 -2.9276 -2.8783 -2.8326 -2.7904 -2.7548 -2.7297
 -2.7196
 -6.1984 -5.9570 -5.7447 -5.5538 -5.3778 -5.2132 -5.0576 -4.9104 -4.7715 -4.6410
 -4.5178 -4.4007 -4.2884 -4.1799 -4.0741 -3.8169 -3.6055 -3.4470 -3.3281 -3.2381
 -3.1684 -3.1101 -3.0579 -3.0093 -2.9630 -2.9183 -2.8758 -2.8360 -2.8001 -2.7705
 -2.7532
 -6.0529 -5.8415 -5.6541 -5.4850 -5.3273 -5.1767 -5.0310 -4.8899 -4.7538 -4.6235
 -4.4991 -4.3808 -4.2679 -4.1599 -4.0562 -3.8118 -3.6066 -3.4472 -3.3274 -3.2378
 -3.1710 -3.1186 -3.0737 -3.0325 -2.9930 -2.9544 -2.9169 -2.8808 -2.8468 -2.8167
 -2.7934
 -5.9131 -5.7264 -5.5571 -5.4048 -5.2637 -5.1282 -4.9957 -4.8645 -4.7353 -4.6091
 -4.4869 -4.3695 -4.2571 -4.1499 -4.0473 -3.8096 -3.6096 -3.4509 -3.3298 -3.2388
 -3.1715 -3.1216 -3.0824 -3.0484 -3.0166 -2.9854 -2.9545 -2.9239 -2.8941 -2.8661
 -2.8396
 -5.7833 -5.6124 -5.4575 -5.3161 -5.1860 -5.0637 -4.9443 -4.8254 -4.7064 -4.5881
 -4.4713 -4.3575 -4.2476 -4.1420 -4.0408 -3.8079 -3.6114 -3.4537 -3.3321 -3.2399
 -3.1712 -3.1212 -3.0845 -3.0559 -3.0313 -3.0079 -2.9847 -2.9611 -2.9372 -2.9138
 -2.8918
 -5.6634 -5.4995 -5.3558 -5.2218 -5.0992 -4.9851 -4.8761 -4.7691 -4.6617 -4.5539
 -4.4459 -4.3389 -4.2339 -4.1320 -4.0367 -3.8067 -3.6120 -3.4556 -3.3343
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = F475W
 -7.7928 -7.3920 -7.0619 -6.7899 -6.5622 -6.3608 -6.1696 -5.9775 -5.7850 -5.5935
 -5.3969 -5.1930 -4.9875 -4.7924 -4.5990 -4.2142 -3.8876 -3.6108 -3.3904
 -7.4095 -6.9922 -6.6483 -6.3706 -6.1446 -5.9545 -5.7852 -5.6216 -5.4611 -5.3011
 -5.1353 -4.9589 -4.7732 -4.5913 -4.4242 -4.0735 -3.7895 -3.5525 -3.3604 -3.2090
 -7.0818 -6.6537 -6.3132 -6.0725 -5.8510 -5.6646 -5.5037 -5.3564 -5.2157 -5.0776
 -4.9369 -4.7873 -4.6242 -4.4550 -4.2965 -3.9694 -3.7158 -3.5091 -3.3401 -3.2047
 -3.0931
 -6.8693 -6.4358 -6.0957 -5.8366 -5.6355 -5.4703 -5.3227 -5.1804 -5.0441 -4.9142
 -4.7874 -4.6585 -4.5198 -4.3671 -4.2159 -3.9019 -3.6665 -3.4806 -3.3295 -3.2071
 -3.1061 -3.0196
 -6.8037 -6.3691 -6.0152 -5.7375 -5.5196 -5.3446 -5.1983 -5.0687 -4.9461 -4.8219
 -4.6926 -4.5671 -4.4428 -4.3102 -4.1685 -3.8620 -3.6358 -3.4628 -3.3250 -3.2134
 -3.1209 -3.0410 -2.9699 -2.9053
 -6.7827 -6.3522 -5.9975 -5.7069 -5.4683 -5.2713 -5.1073 -4.9689 -4.8500 -4.7455
 -4.6391 -4.5188 -4.3951 -4.2712 -4.1417 -3.8415 -3.6183 -3.4520 -3.3232 -3.2206
 -3.1360 -3.0629 -2.9973 -2.9372 -2.8814 -2.8297 -2.7827 -2.7413 -2.7080 -2.6902
 -6.7622 -6.3504 -6.0030 -5.7138 -5.4719 -5.2676 -5.0931 -4.9421 -4.8094 -4.6897
 -4.5791 -4.4736 -4.3642 -4.2496 -4.1282 -3.8346 -3.6102 -3.4460 -3.3221 -3.2260
 -3.1486 -3.0826 -3.0234 -2.9687 -2.9173 -2.8688 -2.8239 -2.7827 -2.7476 -2.7224
 -2.7126
 -6.7232 -6.3390 -6.0089 -5.7279 -5.4883 -5.2822 -5.1022 -4.9430 -4.8008 -4.6718
 -4.5518 -4.4385 -4.3300 -4.2250 -4.1177 -3.8380 -3.6096 -3.4437 -3.3212 -3.2285
 -3.1567 -3.0976 -3.0455 -2.9972 -2.9515 -2.9075 -2.8660 -2.8272 -2.7922 -2.7632
 -2.7460
 -6.6527 -6.2995 -5.9954 -5.7308 -5.5003 -5.2975 -5.1170 -4.9542 -4.8059 -4.6699
 -4.5436 -4.4247 -4.3114 -4.2033 -4.0999 -3.8411 -3.6144 -3.4435 -3.3197 -3.2279
 -3.1590 -3.1055 -3.0604 -3.0195 -2.9805 -2.9427 -2.9061 -2.8709 -2.8381 -2.8089
 -2.7862
 -6.5620 -6.2468 -5.9682 -5.7226 -5.5052 -5.3103 -5.1332 -4.9705 -4.8199 -4.6801
 -4.5495 -4.4266 -4.3101 -4.1990 -4.0932 -3.8440 -3.6248 -3.4499 -3.3217 -3.2281
 -3.1593 -3.1084 -3.0688 -3.0349 -3.0035 -2.9729 -2.9428 -2.9132 -2.8845 -2.8576
 -2.8321
