 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  H   
  2.5005  2.5234  2.5486  2.5700  2.5847  2.5919  2.5912  2.5692  2.5367  2.4954
  2.4461  2.4329  2.3715  2.3056  2.2397  2.0718  1.9096  1.7598  1.6090
  2.3904  2.3705  2.3918  2.4500  2.5171  2.5483  2.5485  2.5314  2.5037  2.4677
  2.4237  2.3730  2.3179  2.2600  2.2011  2.0529  1.9031  1.7518  1.6012  1.4530
  2.3304  2.3181  2.3112  2.3163  2.3377  2.3822  2.4361  2.4618  2.4557  2.4279
  2.3890  2.3430  2.2906  2.2341  2.1760  2.0305  1.8867  1.7409  1.5940  1.4489
  1.3068
  2.2832  2.2750  2.2658  2.2590  2.2587  2.2670  2.2850  2.3158  2.3469  2.3551
  2.3380  2.3037  2.2585  2.2058  2.1494  2.0063  1.8670  1.7281  1.5860  1.4440
  1.3044  1.1680
  2.2211  2.2219  2.2184  2.2128  2.2075  2.2052  2.2074  2.2134  2.2236  2.2377
  2.2448  2.2341  2.2074  2.1681  2.1191  1.9810  1.8445  1.7120  1.5767  1.4386
  1.3014  1.1671  1.0359  0.9078
  2.1407  2.1532  2.1591  2.1600  2.1576  2.1540  2.1513  2.1503  2.1499  2.1490
  2.1477  2.1435  2.1310  2.1071  2.0723  1.9533  1.8207  1.6925  1.5644  1.4320
  1.2981  1.1657  1.0363  0.9100  0.7861  0.6648  0.5466  0.4318  0.3205  0.2129
  2.0417  2.0670  2.0844  2.0946  2.0991  2.0994  2.0975  2.0951  2.0925  2.0885
  2.0815  2.0709  2.0567  2.0380  2.0124  1.9172  1.7956  1.6710  1.5487  1.4231
  1.2939  1.1641  1.0364  0.9116  0.7898  0.6711  0.5552  0.4418  0.3304  0.2215
  0.1172
  1.9242  1.9628  1.9927  2.0141  2.0278  2.0351  2.0380  2.0378  2.0359  2.0328
  2.0269  2.0165  2.0009  1.9807  1.9564  1.8750  1.7676  1.6489  1.5306  1.4112
  1.2879  1.1618  1.0361  0.9128  0.7925  0.6751  0.5605  0.4486  0.3390  0.2316
  0.1262
  1.7933  1.8434  1.8843  1.9169  1.9412  1.9578  1.9679  1.9730  1.9746  1.9738
  1.9707  1.9639  1.9520  1.9341  1.9105  1.8338  1.7367  1.6254  1.5103  1.3949
  1.2773  1.1561  1.0332  0.9113  0.7920  0.6757  0.5622  0.4513  0.3430  0.2369
  0.1332
  1.6490  1.7088  1.7609  1.8035  1.8382  1.8649  1.8841  1.8969  1.9044  1.9079
  1.9086  1.9062  1.8999  1.8879  1.8695  1.7981  1.7081  1.6041  1.4928  1.3798
  1.2661  1.1503  1.0320  0.9129  0.7951  0.6798  0.5674  0.4578  0.3487  0.2439
  0.1420
  1.4913  1.5590  1.6225  1.6782  1.7194  1.7554  1.7843  1.8063  1.8219  1.8322
  1.8383  1.8409  1.8401  1.8349  1.8238  1.7666  1.6804  1.5835  1.4767  1.3659
  1.2541  1.1417  1.0280  0.9128  0.7977  0.6840  0.5726  0.4640  0.3581  0.2547
  0.1536
  1.3201  1.3940  1.4691  1.5421  1.5886  1.6312  1.6683  1.6994  1.7242  1.7431
  1.7569  1.7661  1.7715  1.7730  1.7734  1.7393  1.6536  1.5636  1.4620
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value =  H   
  2.5414  2.5678  2.5921  2.6100  2.6189  2.6184  2.6084  2.5848  2.5517  2.5104
  2.4622  2.4225  2.3647  2.3034  2.2408  2.0805  1.9206  1.7654  1.6108
  2.4082  2.4522  2.5230  2.5610  2.5743  2.5758  2.5678  2.5502  2.5226  2.4860
  2.4414  2.3901  2.3341  2.2752  2.2148  2.0612  1.9075  1.7547  1.6036  1.4553
  2.3650  2.3521  2.3564  2.3863  2.4513  2.5062  2.5223  2.5124  2.4891  2.4567
  2.4166  2.3692  2.3152  2.2572  2.1972  2.0451  1.8942  1.7449  1.5970  1.4515
  1.3092
  2.3494  2.3280  2.3109  2.3033  2.3087  2.3300  2.3768  2.4252  2.4395  2.4221
