 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = G_RP 
 -1.0034 -0.9844 -1.0090 -1.0108 -0.9750 -0.9424 -0.9463 -0.9684 -0.9718 -0.9425
 -0.8955 -0.8351 -0.7712 -0.7124 -0.6572 -0.5495 -0.4897 -0.4674 -0.4606
 -1.0016 -0.9410 -0.9101 -0.8900 -0.8786 -0.8763 -0.8793 -0.8822 -0.8795 -0.8680
 -0.8455 -0.8101 -0.7625 -0.7098 -0.6598 -0.5631 -0.5091 -0.4900 -0.4898 -0.5034
 -1.0001 -0.9208 -0.8605 -0.8229 -0.8116 -0.8138 -0.8149 -0.8135 -0.8117 -0.8091
 -0.7999 -0.7814 -0.7495 -0.7063 -0.6623 -0.5753 -0.5260 -0.5094 -0.5132 -0.5276
 -0.5485
 -0.9989 -0.9238 -0.8602 -0.8095 -0.7740 -0.7549 -0.7531 -0.7623 -0.7684 -0.7658
 -0.7587 -0.7490 -0.7322 -0.7019 -0.6647 -0.5861 -0.5404 -0.5256 -0.5307 -0.5456
 -0.5661 -0.5907
 -0.9783 -0.9153 -0.8588 -0.8094 -0.7684 -0.7377 -0.7185 -0.7098 -0.7107 -0.7165
 -0.7175 -0.7124 -0.7054 -0.6897 -0.6623 -0.5933 -0.5507 -0.5371 -0.5443 -0.5607
 -0.5817 -0.6061 -0.6332 -0.6630
 -0.9314 -0.8847 -0.8412 -0.8004 -0.7629 -0.7302 -0.7042 -0.6859 -0.6748 -0.6692
 -0.6673 -0.6658 -0.6629 -0.6591 -0.6464 -0.5944 -0.5555 -0.5427 -0.5521 -0.5716
 -0.5946 -0.6200 -0.6474 -0.6768 -0.7079 -0.7412 -0.7772 -0.8183 -0.8655 -0.9149
 -0.8589 -0.8293 -0.8012 -0.7734 -0.7453 -0.7176 -0.6918 -0.6697 -0.6531 -0.6412
 -0.6326 -0.6258 -0.6198 -0.6173 -0.6127 -0.5843 -0.5539 -0.5423 -0.5531 -0.5765
 -0.6034 -0.6314 -0.6603 -0.6903 -0.7214 -0.7538 -0.7882 -0.8248 -0.8667 -0.9155
 -0.9671
 -0.7667 -0.7521 -0.7386 -0.7249 -0.7094 -0.6915 -0.6717 -0.6516 -0.6333 -0.6187
 -0.6074 -0.5980 -0.5896 -0.5827 -0.5787 -0.5612 -0.5439 -0.5360 -0.5474 -0.5739
 -0.6058 -0.6382 -0.6702 -0.7022 -0.7345 -0.7672 -0.8009 -0.8362 -0.8740 -0.9165
 -0.9669
